method,year,family,how_k_is_decided,verdict,needs_range,key_user_parameters,cost_per_k,runs_of_base_algorithm,high_dim_behaviour,nonconvex_ok,kmeans_native,known_failure_modes,notes,doi_or_id
MPV,2025,CVI/density,argmax_k[MPV(k)-MPV(k-1)],RANGE,Yes,"d_c, k_max",O(n^2),depends on DPC,Weak,Yes,No,Depends on d_c,``Automated'' but explicitly a range selector,10.7717/peerj-cs.3315
Medoid Silhouette (DynMSC),2024,CVI,"decrement k from k_max , keep best AMS",RANGE,Yes,"k_max , restarts",O(k_maxN^2),1 optimisation per k,Poor in subspaces,No,10 restarts,Moderate,k_max required with no guidance offered,10.1016/j.is.2023.102290
Macro-averaged Silhouette,2025,CVI,per-cluster then average; corrects size bias,RANGE,Yes,k_max,O(n^2d),k_max,As Silhouette,No,Via k-means,As Silhouette,Corrects a bias; still a selector,10.1007/978-3-031-78977-9_23
Calibrated aggregation,2020,CVI,aggregate calibrated indices; user weights,RANGE,Yes,"weights, #random clusterings",k_maxx(indices)xrandom ref.,k_max,Moderate,Depends on index set,Yes,Depends,Deliberately not automatic; weights are user input,10.1007/s11222-020-09958-2
Elbow (SSE bend),1953,Elbow,visual bend in J(k),RANGE,Yes,"k_max , judgement",k_max runs,k_max,No,No,Yes,No,Scale-dependent; descends on uniform noise,no DOI
L-method,2004,Elbow,min length-weighted two-line RMSE,RANGE,Implicit,none claimed,negligible over curve,curve must exist,Untested,n/a,n/a,n/a,Cannot resolve k=1 or k=2,10.1109/ICTAI.2004.50
Kneedle,2011,Elbow,max distance from head-tail chord,RANGE,Yes,sensitivity S,O(k_max) on curve,k_max,n/a,n/a,n/a,n/a,Operates on a precomputed curve,10.1109/ICDCSW.2011.20
Jump statistic,2003,Rate-dist.,argmax_k(d_k^-Y-d_k-1^-Y),RANGE,Yes,"Y, k_max",k_max runs,k_max,Theory is ptoinfty,Gaussian mixture theory,Yes,Comparable spread assumed,Sensitive to transformation power Y,10.1198/016214503000000666
AutoElbow,2022,Elbow,max ratio of squared distances to 3 refs,RANGE,Yes,K (max),K full runs,K,One high-d case,No,Yes,Not analysed,No complexity analysis; scale objection unaddressed,10.3390/app12157515
Angle-based elbow,2021,Elbow,min interior angle by law of cosines,RANGE,Yes,"K_max=lfloorsqrtNrfloor+1, scale [0,10]",K_max runs,K_max,2-D only,No,Yes,Not analysed,Normalisation scale empirical; authors concede it is a selector,10.1186/s13638-021-01910-w
LOG-Means,2020/22,Search,binary search on SSE ratio,RANGE,Yes,"k_low, k_high, varepsilon",O(log|R|) runs,O(log|R|),tested to d=100,No,k-means optima perturb curve,Yes,Requires a visible elbow and a search space,10.14778/3407790.3407813
ElbowSig,2026,Elbow+null,significant peaks of -Delta^2H_k/Delta H_k vs null,RANGE,Yes,"alpha, #resamples, k_max",k_maxx(1+resamples),many,Untested,Depends on H,Yes,Nullcalibrated,"Returns a set of scales, not one k (by design)",arXiv:2603.03235
Gap statistic,2001,Null ref.,smallest k with Gap(k)>=Gap(k+1)-s_k+1,RANGE,Yes,"B, k_max, ref. model",(B+1)k_max runs,(B+1)k_max,Poor,No,Yes,Yes,Uniform-box null; negative gap on separated box clusters,10.1111/1467-9868.00293
Enhanced Gap Statistic,2024,Null ref.,exponential-standardised reference + adjustment,RANGE,Yes,"B, k_max",as Gap,as Gap,Untested,No,Yes,Yes,"Modifies the reference, not the search structure",10.1016/j.eij.2024.100504
M3C,2020,Consensus+null,min significant Monte-Carlo p_k vs K=1 null,RANGE,Yes,"B=100, H=100, maxK, PAC window",O(N^2.4) empirical,BH per K,Spectral variant helps,k-means core assumes sphericity,Yes,Reference-corrected,No formal test between competing non-null K,10.1038/s41598-020-58766-1
Prediction strength,2005,Stability,largest k with ps(k)>= threshold,RANGE,Yes,"threshold approx0.8, splits",2xsplitsx k_max,many,Weak,Centroid-based,Yes,Yes,Threshold has no data-driven calibration,10.1198/106186005X59243
Bootstrap instability,2012,Stability,argmin_k bootstrap instability,RANGE,Yes,"B, k_max",2Bk_max runs,many,Weak,Centroid-based,Yes,Yes,Biased toward large k (uncorrected),10.1016/j.csda.2011.09.003
Corrected instability,2020,Stability,argmin_k of (d-c_1)/c_2,RANGE,Yes,"B=100, K=50",2BK runs,many,Weak,Centroid-based,Yes,Yes,Authors report GMM+BIC outperformed it,10.1007/s00180-020-00981-5
Stability trade-off,2023,Stability,high between-stability + low within-partitionability,RANGE,Yes,"resamples, k_max",many runs,many,Untested,Centroid-based,Yes,Yes,Authors concede stability alone is unsuited,10.1007/978-3-031-33374-3_17
Cross-validated k,2020,CV,min internal prediction error,RANGE,Yes,"folds, k_max",foldsxk_max,many,Claimed advantage,Centroid-based,Yes,Heavy-tailed robust,Still a selector over a range,10.1080/10618600.2019.1647846
CARVE,2026,Stability,1-SE rule on stability+generalisability,RANGE,Yes,"B, rho, classifier, grid",2BMK clusterings,many,Degrades at large p,Handles manifolds,Yes,Robust to heavy tails,Explicitly does not determine k autonomously,arXiv:2606.00327
Consensus clustering,2003,Consensus,Delta(K) area of consensus CDF,RANGE,Yes,"resamples, K range",O(HK) runs + O(n^2) per K,many,Weak,Base-dependent,Yes,Yes,Shown to manufacture clusters from null data,10.1023/A:1023949509487
Evidence accumulation,2005,Ensemble,max-lifetime cut of co-association dendrogram,AUTO,No,"ensemble size, linkage",O(n^2) matrix,ensemble runs,Weak,Base-dependent,Averaged out,Moderate,Quadratic memory; lifetime ties,10.1109/TPAMI.2005.113
Density peaks (DPC),2014,Density,"human reads (rho, delta) decision graph",NOT-AUTO,No,"d_c, manual centres",O(n^2) time+memory,0,Degrades (concentration),Yes,No,Varying density fails,xi-extraction notoriously sensitive,10.1126/science.1242072
OPTICS,1999,Density,valleys of reachability plot / xi cut,SUBST,No,"varepsilon, MinPts, xi",O(nlogn) indexed,0,Weak,Yes,No,Moderate,ξ -extraction notoriously sensitive,10.1145/304182.304187
HDBSCAN,2015,Density,excess-of-mass antichain DP over condensed tree,SUBST,No,"m_pts, min cluster size",O(n^2) MST,0,Degenerates,Yes,No,Handles noise explicitly,k strongly monotone in min-cluster-size,10.1145/2733381
Accelerated HDBSCAN,2017,Density,"as HDBSCAN, dual-tree Boruvka",SUBST,No,"min_samples, min_cluster_size, method",approx O(nlog n) low-d,0,Collapses in high d,Yes,No,Yes,``leaf'' vs ``eom'' silently changes k,10.1109/ICDMW.2017.12
HDBSCAN(hatvarepsilon),2020,Density,first cluster born above hatvarepsilon,SUBST,No,"minPts, min size, hatvarepsilon",O(n^2),0,Authors flag difficulty,Yes,No,Yes,Reintroduces a distance threshold,
Mean shift,2002,Density,count of distinct modes after merging,SUBST,No,"bandwidth h, merge tol.",O(tau n^2),0,Bandwidth unsolved >3-D,Yes,No,Oversegments sparse regions,h controls k monotonically,10.1109/34.1000236
Modal clustering (AEDM bw.),2020,Density,modes of KDE at AEDM-minimising bandwidth,SUBST,No,"kernel, pilot estimates",not stated,0,KDE collapses in high d,Yes,No,Moderate,Pilot bandwidth re-enters; univariate theory,10.1214/20-EJS1679
Skinny-dip / UniDip,2016,Density+test,recursive dip-test modal intervals per axis,AUTO,No,alpha (dip level),O(nlog n) per dim,0,Axis-parallel only,Axis-aligned only,Deterministic,Survives approx80% noise,Misses rotated / manifold structure,10.1145/2939672.2939740
DPSM (density propagation),2024,Density,stop merging when CluCut drops below half,SUBST,No,5 constants incl. 0.5 ratio,O(ndklog n+nkt),0,Untested,Yes,Moderate,5% outlier threshold,Magic constant 0.5; disconnected-graph floor on k,arXiv:2411.01780
Border-peeling,2020,Density,change-point in density-influence ratio,SUBST,No,"C=3, min size, k=20",O(Tntilde f_knn),0,Not analysed,Yes,Moderate,Peels borders explicitly,Self-described non-parametric; five defaults in the paper,10.1109/TPAMI.2019.2924953
Adaptive DPC (Delaunay),2025,Density,prune edges > half mean length; merge while index improves,SUBST,No,"hard-coded 0.5, index choice",O(n^2)+O(kn),0,Authors flag curse of dim.,Yes,No,Residual domino effect,Constants hard-coded rather than absent,10.1371/journal.pone.0325161
ADPC (DDC index),2023,Density,cutoff d_c maximising a bespoke index,RANGE,Sweep on d_c,"index form, grid",>= O(n^2),0,Untested,Yes,No,Untested,Index sweep on d_c is structurally an index sweep on k,10.3934/math.20231482
Unimodal DBSCAN tuning,2025,Density,ternary search for peak of k(varepsilon),SUBST,No,"MinPts, search bounds",O(Dn^2),0,Untested,Yes,No,Moderate,Best evidence that choosing varepsilon is choosing k,arXiv:2506.21695
Natural neighbour,2016,NN,"stable-state radius (eliminates K, not k)",NOT-AUTO,No,none,O(lambda n^2) naive,0,Single global scale,n/a,Deterministic,Late stabilisation on noise,Eliminates neighbourhood size only,10.1016/j.patrec.2016.05.007
FINCH,2019,NN,connected components of first-neighbour graph,AUTO^dagger,No,none (choose level),O(NlogN),0,1st-NN degrades in high d,Yes,Deterministic,Moderate,Returns a chain of partitions; level choice is k choice,10.1109/CVPR.2019.00914
CutESC,2019,Proximity graph,components after local statistical edge cut,SUBST,No,hard-coded cut rule (2 optional),O(nlog n) 2-D,0,Spatial (low d) only,Yes,Deterministic,Local adaptation,Optional 2-parameter mode concedes automatic mode fails,10.1016/j.patcog.2019.06.014
ToMATo,2013,Topology,count of peaks above prominence tau,SUBST,No,"tau, graph, KDE bandwidth",O(nlog n+malpha(n)),0,Graph-dependent,Yes,Deterministic,Guarantees on sampling,tau read from a persistence diagram,10.1145/2535927
ToMAToMP,2026,Topology,multi-parameter persistence above tau,SUBST,No,"f_1..f_p, line family, tau",not stated,0,Untested,Yes,Deterministic,Robust to density estimator,Parameter count increases; tau band remains,arXiv:2605.14824
MCF,2023--,Topology,measures hierarchy/conflict across partitions,n/a,No,input partition sequence,not retrieved,0,n/a,n/a,n/a,n/a,Not a k-estimator; a diagnostic,arXiv:2305.04281
Eigengap heuristic,2007,Spectral,argmax_i(lambda_i+1-lambda_i),SUBST,No,"sigma, graph type, normalisation",O(n^3),0,Smoothed spectra on embeddings,Yes,Yes (final k-means),Yes,Conceals three graph-construction choices,10.1007/s11222-007-9033-z
Self-tuning spectral,2004,Spectral,largest C with near-minimal rotation cost,RANGE,Yes,"C_max, 7th-NN scale",O(n^3) per C,0,Weak,Yes,Removes final k-means,Yes,Fixed ``7th neighbour'' constant,no DOI
Multiscale spectral (random walk),2006,Spectral,local maxima of Delta(M) over walk length,AUTO^dagger,No,"sigma (learned), stopping",eigendecomp. per M,0,Single global scale,Yes,n/a,Moderate,Returns a set of plausible k,10.1109/CVPR.2006.289
Bethe Hessian,2014,Spectral,#negative eigenvalues of H(r_c),AUTO,No,none (r_c computed),"few eigenvalues, sparse",0,Graph model,Graph model,Deterministic,Model-dependent,Graph/SBM setting; guarantees are model-dependent,
Le & Levina estimators,2022,Spectral,"NB/BH eigenvalue counts, t=5 in corrected form",AUTO,No,none (or t),few eigenvalues,0,Requires bar dgglog n,Graph model,Deterministic,Underestimates when unbalanced,Consistency proven mainly under SBM,10.1214/21-EJS1971
Approx. spectral + self-tuned k,2019,Spectral,max of DBI+eigenvalue-sum metric,RANGE,Yes,"GNG size, 80% var., mupmsigma, DBI range",O(m^3) after compression,0,Image segmentation focus,Yes,Yes,Yes,Five arbitrary choices to remove one,10.1016/j.patrec.2019.02.006
CLR / CAN (rank constraint),2014/16,Spectral,learns graph with exactly k components,NOT-AUTO,No,"k, lambda, NN size",O(n^3) per iteration,0,Costly,Yes,Yes,Moderate,k is the input; lambda is tuned to match it,10.1609/aaai.v30i1.10302
Parameter-light spectral (text),2025,Spectral,first tail position exceeding adaptive threshold,SUBST,No,"window w=3, cap tau, fallback",O(log ncdottau^3),0,Spectra flatten on dense graphs,Yes,Subsample variance,Moderate,Defaults to k=5 when detection fails,arXiv:2511.19350
ISODATA,1965,Split/merge,"split if v_j,max>sigma_max; merge if d_ij<= L_min",SUBST,k_init,6 thresholds,O(I_maxknd),I_max sweeps,Per-axis SD meaningless,No,Yes,Yes,Final k is a function of the thresholds,
Bisecting k-means,2000,Divisive,repeatedly bisect until target k,NOT-AUTO,k is input,"ITER, split heuristic",near-linear in n,(k-1)xITER 2-means,Moderate,No,Yes,Yes,No internal stopping criterion,
Global k-means,2003,Incremental,builds k from k-1; no k rule,NOT-AUTO,M=k_max input,M,Nx M k-means runs,NM,Costly,No,Deterministic,Moderate,"Optimisation method, not a k rule",10.1016/S0031-3203(02)00060-2
X-means,2000,Split (BIC),split iff local BIC(children) > BIC(parent),RANGE,"Yes (-L,-H)","k_min,k_max, cutoff",O(log k_max) rounds,1 global + local per round,Erratic; penalty mis-scaled,No (spherical equal var.),Yes,Overlap resolved by adding centroids,Under-penalises; saturates at k_max,
G-means,2003,Split (AD test),split iff A^*2>=1.8692 (alpha=10^-4),SUBST,No,alpha,O(log k^*) full runs,O(log k^*),Reduction can collapse clusters,No (Gaussian),Yes,Yes,Catastrophic over-estimation on non-Gaussian data,
PG-means,2006,Split (KS test),add a component while any projection rejects,SUBST,No,"alpha, p=12, restarts",O(K^2nd^2l+Knlog n),EM restarts per K,Full covariance fails sparse/high-d,Elliptical,EM init fragile,Moderate,Under-estimates on overlapping spherical clusters,
Dip-means,2012,Split (dip test),split max-score cluster while viewers reject,SUBST,No,"alpha, b=1000, v_thd",O(bnlog n+n^2) per test,k^*-1 full runs,Tests need many points,Convex-separable,Split seeding random,Moderate,Collapses to k=1 on high-d real data,
Projected dip-means,2018,Split (dip test),dip on 2d axes; split highest score,SUBST,No,"alpha, b, restarts",O(nd) tests +O(n^3) PCA,k^*-1,Better than dip-means,Convex-separable,Yes,Moderate,No cross-family comparison reported,10.1145/3200947.3201008
mp-means (mud-pod),2025,Split (mv. dip),split while multivariate unimodality rejected,SUBST,No,"M=100, alpha=0.01, varepsilon",M projections per test,k^*-1,Better than dip-means,Convex-separable,Yes,Moderate,Still under-estimates on MNIST/Optdigits,
UniForCE,2026,Local unimodality,#trees of min. spanning forest of unimodality graph,AUTO,No,"K'=50, M=25, alpha, L=11",O(KNd+Nlog N+K^2log K),1 overclustering,Best in family; d to 20531 tested,Yes (locally unimodal),Via overclustering,Needs >=50 pts/cluster,Estimate drifts with K' on some data,10.1016/j.patcog.2025.112357
K-Splits,2022,Split,split max tanh(Q_C/thr)lambda_1^C; stop at d/d_base<=beta,SUBST,No,beta (no rule given),not stated,2-means on new pair only,High cost in high d,Partly,Irreversible assignments,>50% overlap fails,beta has no automatic determination,10.1007/978-981-19-0898-9_15
K-means Cloning,2018,Split/merge,"silhouette peak over K<=min(20,sqrtn)",RANGE,Yes,"K_max, annealing",not stated,many,Untested,No,Annealed,Moderate,Structurally incapable of k>20,10.3390/a11100151
Merging k-means solutions,2020,Merge,agglomerate by pairwise overlap; stop by inspection,NOT-AUTO,initial K,"linkage, overlap model",not stated,1 overclustering,Elliptical models offered,Yes (mixtures),Yes,Moderate,Merge stopping rule left to the human,10.1007/s00357-019-09314-8
MML component annihilation,2002,Prune,components with insufficient support are annihilated,SUBST,k_max start,"k_max, family",O(nk_maxd^2) per iter.,1 EM run,N=O(d^2) collapses,Elliptical,EM init,Moderate,Requires a large starting k_max,10.1109/34.990138
CNMBI,2023,Centre matching,bipartite matching stability of centres + boundary filtering,RANGE,Implied,not retrievable,not stated,several,Claimed effective,Untested,By design,Boundary filtering,Stopping rule and parameters not retrievable,10.1007/978-3-031-46677-9_19
k^*-means,2025,MDL split/merge,split if Delta Q>2N/(k+1); merge if tfrac12Delta Q-N/k<0,AUTO,No,none core (precision m),worst case exponential,single convergence path,MNIST 10.9 vs 10,Assumes roughly spherical,Grows from k=1,Not analysed,Not scale-invariant; no consistency theory; preprint,
Regularised k-means,2025,Penalty,min J(k)+lambda k with derived lambda bounds,SUBST,No,lambda (or multiplicative form),k_max runs,k_max,Untested,Ideal spheres only,Yes,Degrades with outliers,lambda bounds depend on quantities you would need k to know,arXiv:2505.22991
CVFLDA,2025,Merge (LDA),"merge pair unless S^2(s)+lambda,SD(s)<S^2(m)",AUTO,No,"lambda, initial over-k",O(k^2) projections,one run,Slightly weaker >90%,Gaussian-oriented,One run only,Detects k=1 at 100%,Very low success on skewed data,10.1007/s00357-024-09481-3
U-k-means,2020,Penalised,"entropy-penalised objective, simultaneous k",AUTO,No,claimed none,single optimisation,1,Feature-reduction variant,Centroid-based,Claimed free,Not analysed,Parameter-freedom claim contested in follow-up work,10.1109/ACCESS.2020.2988796
SpecialK,2019,Concentration,bound on prob. two clusters share one distribution,AUTO,No,none stated,not retrieved,wrapper,Nonparametric,Wrapper on any objective,Wrapper,Nonparametric,Can return k=1; cost not reported,10.1007/978-3-030-46150-8_16
Chebyshev auto-range,2022,Bound,1sigma/2sigma tests on existing distance vector,RANGE,Derives it,none beyond k-means,free (reuses k-means output),narrow range,Untested,Centroid-based,Yes,Explicit outlier detection,"Returns a range, not a single k",10.1007/s00521-021-06689-x
DP-means,2012,BNP-SVA,new cluster iff min_c|x-mu_c|^2>lambda,SUBST,No,lambda,O(nkd) per sweep,iterative,Distances concentrate,Spherical,Order-dependent,Yes,lambda is the reparameterised DP concentration,
PDC-DP-means,2022,BNP-SVA,"as DP-means, delayed creation, parallel",SUBST,No,"lambda, partitions, batch",O(nkd) BLAS-3,iterative,Same as DP-means,Spherical,Yes,Yes,lambda tuned on labels with NMI in the experiments,
Variational DPM,2006,BNP,occupied components below truncation T,SUBST,T is k_max,"alpha, T, base measure",O(nTd) per sweep,VI sweeps,Truncation sensitivity,Elliptical,Severe local optima,Moderate,Truncation is exactly the k_max to be avoided,10.1214/06-BA104
MFM / telescoping sampler,2018/21,BNP,posterior of occupied components K_+,SUBST,No,"p(K), gamma, base measure",MCMC O(nKd)/sweep,MCMC,Costly,Gaussian in practice,Label switching,Kernel misspecification fatal,Posterior on k strongly affected by the base measure,10.1214/21-BA1294
Sparse finite mixtures,2016,BNP,non-empty components at fixed large K,RANGE,K required,"e_0, K",MCMC at K=K_max,MCMC,Costly,Gaussian,MCMC,Moderate,Deliberately keeps k_max; e_0 is a direct dial,10.1007/s11222-014-9500-2
Merge-truncate-merge,2021,BNP postproc.,merge atoms closer than cxcontraction rate,AUTO,No,"c, known contraction rate",O(K^2) per sample,MCMC upstream,Rates degrade,Kernel-dependent,MCMC,Moderate,"Consistent, but c is a resolution dial",10.3150/20-BEJ1275
ICL,2000,Info. criterion,argmin BIC + classification entropy,RANGE,Yes,"k_max, covariance family",k_max EM fits,k_max,nu_K=O(Kd^2) explodes,Elliptical,EM init,Moderate,Biases downward by design; BIC regularity fails for mixtures,10.1109/34.865189
sBIC (singular),2017,Info. criterion,penalty by real log-canonical thresholds,RANGE,Yes,"model set, lambda_K",as BIC + fixed point,k_max,As BIC,Elliptical,EM init,Moderate,lambda_K known in closed form for few families,10.1111/rssb.12187
Group-Sort-Fuse,2021,Penalised MLE,#distinct fused atoms at K_max,RANGE,K_max required,"K_max, lambda_n, penalty",1 penalised EM per grid point,grid,Location(-scale) families,Location families,EM init,Moderate,"Consistent for k, but K_max is structural",10.1214/21-AOS2072
Renormalised NML,2013,MDL,min renormalised code length over K,RANGE,Yes,"R_1,R_2,lambda_1,lambda_2, K range",O(n^2K),k_max,Gaussian,Elliptical,EM init,Moderate,Parameter-space bounds enter linearly in K (a price per cluster),10.1109/TIT.2013.2276036
Lossy coding length,2007,MDL,merge while total coding length decreases,SUBST,No,distortion varepsilon,O(n^2) merges,0,Subspace-aware,Yes (linear subspaces),Agglomerative,Moderate,Trades k for varepsilon; quadratic,10.1109/TPAMI.2007.1085
Corrected relevant information,2004,Info. bottleneck,"max of I^emp-tfracK_v2ln 2,NN_c",AUTO^dagger,No,"binning K_v, relevance var.",annealing ladder,0,Binned estimation,Not applicable,Annealed,Moderate,Requires a relevance variable; not general-purpose,10.1162/0899766042321751
ACDE (activation thresholds),2008,Metaheuristic #act,#activations above threshold; CVI fitness,RANGE,Yes,"k_min,k_max, CVI, thresh., pop.",O(N_Pcdot Gcdot ndk_max),every fitness eval.,Poor (CVI-bound),No (CVI-bound),Stochastic in k,CVI-bound,"Outcome determined by the chosen CVI, not the search",10.1109/TSMCA.2007.909595
Variable-length GA,2002,Metaheuristic c,chromosome length is k; CVI fitness,RANGE,Yes,"k_min,k_max, GA params",population-dependent,every eval.,Poor,No,Stochastic in k,CVI-bound,Established the bounded-interval convention,10.1016/S0031-3203(01)00108-X
MOCK,2007,Multiobjective,components of decoded graph; null control fronts,AUTO,No,"pop., archive, L, control fronts",O(n) genotype,many,Untested at scale,Yes (connectivity objective),Stochastic front,Null-referenced,Null-model generator is itself an assumption,10.1109/TEVC.2006.877146
Delta-MOCK,2018,Multiobjective,as MOCK with reduced encoding,AUTO,No,#free links (soft k_max),reduced genotype,many,Untested,Yes,Stochastic,Moderate,Link reduction acts as a soft k_max,
DeepDPM,2022,Deep BNP,Hastings ratio split/merge in latent space,AUTO,No,"alpha, NIW prior, init K, schedule",sim11 GPU-hours (ImageNet-50),0 (end-to-end),707 vs 1000 on ImageNet,Latent-space Gaussian,Robust to init K,Representation-bound,Underestimates badly at large k,
DipDECK,2021,Deep + dip,merge pairs whose union passes the dip test,AUTO,k_init upper bound,"k_init, dip threshold, network",not reported,0,Untested on tabular,Yes (no sphericity),Depends on k_init,Moderate,Per-dataset hat k figures not retrievable,10.1145/3447548.3467316
UNSEEN,2024,Deep prune,remove cluster when size <tx creation size,SUBST,k_init=35,"t=0.5, k_init, epochs",+7% to +53% over base,0,Optdigits/Pendigits tested,Wrapper,Strongly init-dependent,Moderate,Exact on synthetic blobs; over-estimates on all real subsets,10.1109/ICDMW65004.2024.00100
GCD estimator,2022,Supervised sweep,"max labelled-subset accuracy (Hungarian), Brent search",SUBST,"[|Y_L|,1000]","] labelled subset, backbone",approx18 GPU-hours reported,many,"0% error CIFAR-100, 28% Herbarium19",Representation-bound,Yes,Long-tail failure,Uses ground-truth labels; not automatic determination,
SCMax (NNC),2026,Deep stability,argmax nearest-neighbour consensus under perturbation,AUTO,No,"autoencoder architecture, epochs",O(Klog K+B^2+K^3),0,Image data only,Yes,Fixed seed,Moderate,MNIST 15 vs 10 in 2026,arXiv:2511.09211
CEDAS,2017,Stream,components of micro-cluster graph,SUBST,No,"global radius, decay",one pass,0,Low penalty claimed,Yes,One pass,Decay handles drift,Radius fully determines k,10.1016/j.ins.2016.12.004
BOCEDS,2019,Stream,radius updated toward local optimum,AUTO,No,"initial radius, buffer thresholds",one pass + buffer,0,Untested,Yes,One pass,Buffer reprieve,Initial radius and buffer thresholds remain,10.1016/j.ins.2019.03.022
EDMStream,2017,Stream,peaks surviving threshold on dependency tree,SUBST,No,density + dependent-distance thresholds,"one pass, real-time",0,Untested,Yes,One pass,Decay,Two-parameter substitution,10.1145/3186728.3164136
H-NGPCA,2026,Stream,split when unborn children outperform parent,SUBST,No,five parameters,"one pass, no big-O given",0,d=1024 tested,Local PCA ellipsoids,One pass,Hysteresis for outliers,No merge mechanism: k can only ratchet upward,10.1371/journal.pone.0339171
SSCE (subspace ensemble),2025,Sampling,"ensemble vote over per-subspace, per-sample hat k",AUTO,No,"#subspaces, block sizes",embarrassingly parallel,many small,Designed for high d,Subspace clusters,Ensembled,Ensembled,No big-O published,10.1109/TBDATA.2025.3588027
Similarity-matrix susceptibility,2023,Preclustering,#blocks from susceptibility of similarity matrix,AUTO,No,kernel and its bandwidth,O(n^2) implied; not stated,0 (no clustering at all),Untested,Kernel-dependent,None,Untested,Complexity unpublished; quadratic data structure,10.1016/j.physa.2023.128592
Depth difference (DeD),2019,Preclustering,max depth-within minus depth-between,AUTO,No,depth function,not stated (depth is costly),0,Untested,Depth-dependent,None,Depth is robust,Complexity unpublished,10.1007/s41019-019-0091-y
Graph-based high-d statistic,2024,Preclustering,similarity-graph statistic with selection consistency,AUTO,No,graph construction,efficient (claimed),0,Designed for high d,Graph-dependent,None,Untested,Graph construction choices remain,arXiv:2402.15600
